Yellow,68,1527
Yellow,130,1523
Yellow,192,1527
Yellow,254,1527
Yellow,318,1523
Yellow,382,1525
Yellow,515,1525
Yellow,573,1525
Yellow,637,1525
Yellow,701,1523
Yellow,770,1527
Yellow,832,1525
Yellow,892,1525
Yellow,66,1822
Yellow,119,1822
Yellow,179,1822
Yellow,248,1822
Yellow,314,1820
Yellow,378,1818
Yellow,442,1818
Yellow,507,1820
Yellow,575,1818
Yellow,637,1818
Yellow,706,1818
Yellow,768,1816
Yellow,832,1818
Yellow,3594,1275
Yellow,3592,1343
Yellow,3592,1412
Yellow,3592,1480
Yellow,3592,1549
Yellow,3590,1613
Yellow,3590,1671
Yellow,3588,1730
Yellow,1546,1390
Yellow,1536,1517
Yellow,1609,1392
Yellow,1602,1514
Yellow,1673,1397
Yellow,1664,1512
Yellow,1739,1395
Yellow,1728,1517
Yellow,1797,1401
Yellow,1793,1521
Yellow,1867,1390
Yellow,1859,1525
Yellow,1927,1390
Yellow,1921,1521
Yellow,1996,1388
Yellow,1987,1519
Yellow,2051,1525
Yellow,2120,1523
Yellow,2178,1521
Yellow,2351,1519
Yellow,2413,1521
Yellow,2477,1521
Yellow,2539,1521
Yellow,2606,1521
Yellow,2663,1521
Yellow,2732,1521
Yellow,2794,1521
Yellow,2860,1521
Yellow,2922,1521
Yellow,2984,1521
Yellow,3051,1521
Yellow,3115,1521
Yellow,3177,1521
Yellow,3179,1390
Yellow,3119,1390
Yellow,3049,1390
Yellow,2989,1390
Yellow,2924,1388
Yellow,2865,1397
Yellow,2798,1395
Yellow,2743,1392
Yellow,2674,1392
Yellow,2610,1392
Yellow,2548,1395
Yellow,2482,1392
Yellow,2413,1395
Yellow,2355,1401
Yellow,2188,1397
Yellow,2120,1397
Yellow,2058,1397
Yellow,3517,1820
Yellow,3453,1820
Yellow,3393,1820
Yellow,3325,1818
Yellow,3262,1820
Yellow,3196,1820
Yellow,3134,1825
Yellow,3068,1825
Yellow,2901,1825
Yellow,2837,1827
Yellow,2775,1827
Yellow,2708,1827
Yellow,2644,1829
Yellow,2576,1829
Yellow,2514,1833
Yellow,2449,1833
Yellow,2383,1831
Yellow,2325,1829
Yellow,2261,1829
Yellow,2195,1831
Yellow,2131,1831
Yellow,2066,1833
Yellow,1998,1833
Yellow,1784,1827
Yellow,1718,1829
Handicap,1084,1536
Handicap,1318,1812
Handicap,1439,1812
Handicap,1527,1812
Handicap,1636,1816
