Blue,2834,263
Blue,2940,260
Blue,3025,261
Blue,3111,257
Blue,3204,257
Blue,3298,255
Blue,3393,260
Blue,2243,246
Blue,2142,248
Blue,2053,243
Blue,1956,249
Blue,1833,258
Blue,1739,257
Blue,1632,254
Blue,1548,248
Blue,1451,248
Blue,1349,246
Blue,1252,246
Blue,1140,244
Blue,1041,237
Blue,942,235
Blue,842,231
Blue,737,226
Blue,217,198
Blue,218,263
Blue,221,351
Blue,221,462
Blue,221,563
Blue,221,662
Blue,221,757
Blue,228,864
Blue,226,973
Blue,224,1072
Blue,224,1166
Blue,224,1264
Blue,223,1369
Blue,223,1469
Blue,224,1566
Blue,224,1662
Blue,223,1759
Blue,226,1870
Blue,218,1965
Blue,217,2067
Blue,217,2153
Blue,215,2263
Blue,203,2353
Blue,203,2454
Blue,203,2555
Blue,200,2665
Blue,634,2437
Blue,642,2323
Blue,640,2238
Blue,654,702
Blue,643,816
Blue,645,921
Blue,643,1021
Blue,639,1110
Blue,642,1215
Blue,640,1315
Blue,634,1421
Blue,636,1520
Blue,650,1611
Blue,656,1717
Blue,648,1813
Blue,893,733
Blue,893,822
Blue,888,907
Blue,895,1021
Blue,887,1127
Blue,884,1220
Blue,871,1326
Blue,873,1406
Blue,873,1523
Blue,865,2427
Blue,862,2330
Blue,864,2227
Mail,862,1616
Mail,868,1731
Mail,862,1851
Handicapped,1201,2312
