Handicapped,244,825
EV,400,819
EV,502,818
EV,580,814
EV,674,810
Yellow/Green/Blue,958,1212
Yellow/Green/Blue,887,1215
Yellow/Green/Blue,807,1217
Yellow/Green/Blue,719,1213
Yellow/Green/Blue,633,1213
Yellow/Green/Blue,570,1212
Yellow/Green/Blue,477,1209
Yellow/Green/Blue,386,1210
Yellow/Green/Blue,315,1212
Yellow/Green/Blue,203,1215
Yellow/Green/Blue,898,1395
Yellow/Green/Blue,942,1388
Yellow/Green/Blue,808,1384
Yellow/Green/Blue,731,1391
Yellow/Green/Blue,631,1391
Yellow/Green/Blue,566,1389
Yellow/Green/Blue,480,1394
Yellow/Green/Blue,392,1394
Yellow/Green/Blue,301,1392
Yellow/Green/Blue,232,1392
Yellow/Green/Blue,154,1384
Yellow/Green/Blue,77,1380
Yellow/Green/Blue,1101,1780
Yellow/Green/Blue,893,1787
Yellow/Green/Blue,807,1779
Yellow/Green/Blue,725,1776
Yellow/Green/Blue,642,1776
Yellow/Green/Blue,557,1773
Yellow/Green/Blue,477,1774
Yellow/Green/Blue,394,1776
Yellow/Green/Blue,312,1776
Yellow/Green/Blue,231,1776
Yellow/Green/Blue,152,1774
Yellow/Green/Blue,69,1773
Saftey,3027,1803
Saftey,2931,1793
Saftey,2840,1790
Saftey,2752,1791
Saftey,2682,1782
Blue,2606,1776
Blue,2524,1768
Blue,2451,1767
Blue,2370,1763
Blue,2286,1759
Blue,2196,1763
Blue,2133,1779
Blue,2039,1794
Blue,1970,1800
Blue,1877,1803
Green,2461,1401
Green,2400,1401
Green,2312,1400
Green,2233,1400
Green,2156,1414
Green,2068,1415
Green,1993,1414
Green,1930,1411
Green,1827,1406
Green,1740,1404
Green,1740,1263
Green,1820,1258
Green,1916,1263
Green,1995,1269
Green,2072,1269
Green,2152,1272
Green,2230,1263
Green,2315,1258
Green,2390,1255
Green,2457,1250
Green,1628,845
Green,1711,848
Green,1794,851
Green,1879,855
Green,1959,858
Green,2036,858
Green,2125,862
Green,2201,853
Saftey,2275,856
Saftey,2353,856
Saftey,2434,853
Handicapped,2531,850
Handicapped,3133,1113
Handicapped,3255,1204
Handicapped,3341,1266
Handicapped,3461,1361
Green,2863,905
Green,2940,969
ZipCar,3008,1013
ZipCar,3067,1055
Saftey,3577,1549
Saftey,3586,1643
Saftey,3583,1734
Saftey,3581,1800
